Name,Category,Rarelity,Lv,n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
リボルバードラゴン,Monster,UR,7,1,,,,,,,,,2,3,,,2,,,,4,,,4,,,2,,,3,,2,,1
ビッグコア,Monster,UR,6,1,,,,,2,,3,,3,,3,,,,,,,,,3,2,,1,,4,,,,2,
スサノオ,Monster,SR,4,1,3,3,3,,,1,,,,4,,,4,2,,2,,,1,1,,,,,,,1,,,
機械王,Monster,R,6,1,,,4,2,,,,,,,,,,,,,1,,,,1,3,,,,2,,,4,
機械王プロトタイプ,Monster,R,3,2,,,,,,,,2,1,,,3,3,,3,,,4,,,,,,1,3,1,,,,
オイルメン,Monster,R,2,1,1,,,,4,,,,,,,2,3,,,,,,,,,,,2,1,,,1,,
トラップチーム,Monster,R,2,1,,1,,4,,2,,,4,,1,,,,2,,,,,,,,,,,,2,,,3
ロードブリティッシュ,Monster,N,4,1,2,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,
ファルシオン,Monster,N,4,1,,,,,,,,,,,4,1,1,4,1,4,,,,,,2,,,,,,,,
ツイスター,Magic,SR,,1,,,1,3,,,,,,,,,,,,,,1,3,2,4,,,,,4,,,,2
磁力,Magic,R,,2,,,,,3,,2,4,,,,4,4,1,,1,3,,,,,,,4,2,,,,,
機械改造工場,Magic,R,,2,4,4,,,,3,1,3,,,,,,3,,3,,,4,,,,3,3,,,,,,
道連れ,Trap,UR,,1,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,
マジックジャマー,Trap,UR,,1,,,,,,,,,,,,,,,,,,2,,,3,,,,,,4,3,,
粘着落とし穴,Trap,SR,,1,,,,1,,,,,,1,2,,,,,,,,,,,1,4,,,,3,,,
装置,Trap,R,,1,,,,,,4,4,,,2,,,,,,,,3,,,,,,,,,,4,,4
衝動,Trap,N,,1,,,2,,1,,,,,,,,1,,,,2,,2,,,,,,,,,,1,
